"SCTRY","Value added source country","SINDY","Value added source industry","XCTRY","Country of final demand","XINDY","Industry of final demand","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"WLD","World","D24T25","Basic metals and fabricated metal products","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,13441.955,,
"WLD","World","D24","Basic metals","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,6337.173,,
"WLD","World","D25","Fabricated metal products","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,7104.782,,
"WLD","World","D26T27","Computers, electronic and electrical equipment","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,7146.159,,
"WLD","World","D26","Computer, electronic and optical products","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,4338.436,,
"WLD","World","D27","Electrical equipment","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,2807.722,,
"WLD","World","D28","Machinery and equipment, nec ","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,8527.044,,
"WLD","World","D29T30","Transport equipment","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,4603.989,,
"WLD","World","D29","Motor vehicles, trailers and semi-trailers","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,3299.714,,
"WLD","World","D30","Other transport equipment","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,1304.275,,
"WLD","World","D31T33","Other manufacturing; repair and installation of machinery and equipment","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,5482.836,,
"WLD","World","D35T39","Electricity, gas, water supply, sewerage, waste and remediation services","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,27598.577,,
"WLD","World","D41T43","Construction","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,7086.995,,
"WLD","World","D45T82","Total business sector services","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,358681.151,,
"WLD","World","D45T56","Distributive trade, transport, accommodation and food services","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,212055.058,,
"WLD","World","D45T47","Wholesale and retail trade; repair of motor vehicles","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,157146.929,,
"WLD","World","D49T53","Transportation and storage","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,47994.141,,
"WLD","World","D55T56","Accommodation and food services","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,6913.987,,
"WLD","World","D58T63","Information and communication","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,14359.546,,
"WLD","World","D58T60","Publishing, audiovisual and broadcasting activities","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,2787.425,,
"WLD","World","D61","Telecommunications","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,7109.53,,
"WLD","World","D62T63","IT and other information services","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,4462.59,,
"WLD","World","D64T66","Financial and insurance activities","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,59349.412,,
"WLD","World","D68","Real estate activities","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,16799.647,,
"WLD","World","D69T82","Other business sector services","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,56117.488,,
"WLD","World","D84T98","Public admin, education and health; social and personal services","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,22780.337,,
"WLD","World","D84T88","Public admin, defence; education and health","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,16971.66,,
"WLD","World","D84","Public admin. and defence; compulsory social security","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,4339.155,,
"WLD","World","D85","Education","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,4020.511,,
"WLD","World","D86T88","Human health and social work","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,8611.994,,
"WLD","World","D90T98","Other social and personal services","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,5808.678,,
"WLD","World","D90T96","Arts, entertainment, recreation and other service activities","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,5808.678,,
"WLD","World","D97T98","Private households with employed persons","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,0,,
"WLD","World","D05T39","Industry (mining, manufactures and utilities)","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,342107.686,,
"WLD","World","D45T98","Total services ","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,381461.489,,
"WLD","World","D58T82","Information, finance, real estate and other business services","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,146626.094,,
"WLD","World","D41T98","Total services (incl. construction)","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,388548.484,,
"WLD","World","DINFO","Information industries","WLD","World","D01T03","Agriculture, forestry and fishing","2015","2015","USD","US Dollar","6","Millions",,,18697.982,,
"WLD","World","DTOTAL","TOTAL","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,227581.546,,
"WLD","World","D01T03","Agriculture, forestry and fishing","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,936.932,,
"WLD","World","D05T09","Mining and quarrying","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,183304.163,,
"WLD","World","D05T06","Mining and extraction of energy producing products","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,170037.84,,
"WLD","World","D07T08","Mining and quarrying of non-energy producing products","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,1979.695,,
"WLD","World","D09","Mining support service activities","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,11286.629,,
"WLD","World","D10T33","Manufacturing","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,10790.328,,
"WLD","World","D10T12","Food products, beverages and tobacco","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,279.899,,
"WLD","World","D13T15","Textiles, wearing apparel, leather and related products","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,440.825,,
"WLD","World","D16T18","Wood and paper products; printing","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,474.145,,
"WLD","World","D16","Wood and products of wood and cork","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,166.533,,
"WLD","World","D17T18","Paper products and printing","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,307.612,,
"WLD","World","D19T23","Chemicals and non-metallic mineral products","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,4048.606,,
"WLD","World","D19","Coke and refined petroleum products","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,1554.042,,
"WLD","World","D20T21","Chemicals and pharmaceutical products","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,1578.164,,
"WLD","World","D22","Rubber and plastic products","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,553.015,,
"WLD","World","D23","Other non-metallic mineral products","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,363.385,,
"WLD","World","D24T25","Basic metals and fabricated metal products","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,2335.137,,
"WLD","World","D24","Basic metals","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,1273.544,,
"WLD","World","D25","Fabricated metal products","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,1061.593,,
"WLD","World","D26T27","Computers, electronic and electrical equipment","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,869.838,,
"WLD","World","D26","Computer, electronic and optical products","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,480.425,,
"WLD","World","D27","Electrical equipment","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,389.414,,
"WLD","World","D28","Machinery and equipment, nec ","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,1427.654,,
"WLD","World","D29T30","Transport equipment","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,426.317,,
"WLD","World","D29","Motor vehicles, trailers and semi-trailers","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,257.597,,
"WLD","World","D30","Other transport equipment","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,168.72,,
"WLD","World","D31T33","Other manufacturing; repair and installation of machinery and equipment","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,487.907,,
"WLD","World","D35T39","Electricity, gas, water supply, sewerage, waste and remediation services","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,3795.517,,
"WLD","World","D41T43","Construction","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,1008.809,,
"WLD","World","D45T82","Total business sector services","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,25144.806,,
"WLD","World","D45T56","Distributive trade, transport, accommodation and food services","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,11356.185,,
"WLD","World","D45T47","Wholesale and retail trade; repair of motor vehicles","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,6241.65,,
"WLD","World","D49T53","Transportation and storage","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,4524.049,,
"WLD","World","D55T56","Accommodation and food services","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,590.487,,
"WLD","World","D58T63","Information and communication","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,1360.239,,
"WLD","World","D58T60","Publishing, audiovisual and broadcasting activities","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,240.281,,
"WLD","World","D61","Telecommunications","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,513.293,,
"WLD","World","D62T63","IT and other information services","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,606.664,,
"WLD","World","D64T66","Financial and insurance activities","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,4399.355,,
"WLD","World","D68","Real estate activities","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,1360.126,,
"WLD","World","D69T82","Other business sector services","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,6668.901,,
"WLD","World","D84T98","Public admin, education and health; social and personal services","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,2600.99,,
"WLD","World","D84T88","Public admin, defence; education and health","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,1936.443,,
"WLD","World","D84","Public admin. and defence; compulsory social security","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,539.164,,
"WLD","World","D85","Education","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,847.185,,
"WLD","World","D86T88","Human health and social work","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,550.094,,
"WLD","World","D90T98","Other social and personal services","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,664.547,,
"WLD","World","D90T96","Arts, entertainment, recreation and other service activities","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,664.547,,
"WLD","World","D97T98","Private households with employed persons","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,0,,
"WLD","World","D05T39","Industry (mining, manufactures and utilities)","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,197890.008,,
"WLD","World","D45T98","Total services ","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,27745.797,,
"WLD","World","D58T82","Information, finance, real estate and other business services","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,13788.621,,
"WLD","World","D41T98","Total services (incl. construction)","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,28754.606,,
"WLD","World","DINFO","Information industries","WLD","World","D05T06","Mining and extraction of energy producing products","2015","2015","USD","US Dollar","6","Millions",,,1840.663,,
"WLD","World","DTOTAL","TOTAL","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,29654.841,,
"WLD","World","DTOTAL","TOTAL","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,27596.704,,
"WLD","World","D01T03","Agriculture, forestry and fishing","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,163.521,,
"WLD","World","D01T03","Agriculture, forestry and fishing","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,102.831,,
"WLD","World","D05T09","Mining and quarrying","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,21484.643,,
"WLD","World","D05T09","Mining and quarrying","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,20728.913,,
"WLD","World","D05T06","Mining and extraction of energy producing products","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,1635.908,,
"WLD","World","D05T06","Mining and extraction of energy producing products","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,2591.516,,
"WLD","World","D07T08","Mining and quarrying of non-energy producing products","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,18311.702,,
"WLD","World","D07T08","Mining and quarrying of non-energy producing products","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,401.421,,
"WLD","World","D09","Mining support service activities","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,1537.033,,
"WLD","World","D09","Mining support service activities","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,17735.976,,
"WLD","World","D10T33","Manufacturing","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,2139.817,,
"WLD","World","D10T33","Manufacturing","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,1926.778,,
"WLD","World","D10T12","Food products, beverages and tobacco","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,52.304,,
"WLD","World","D10T12","Food products, beverages and tobacco","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,46.003,,
"WLD","World","D13T15","Textiles, wearing apparel, leather and related products","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,68.58,,
"WLD","World","D13T15","Textiles, wearing apparel, leather and related products","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,61.321,,
"WLD","World","D16T18","Wood and paper products; printing","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,114.651,,
"WLD","World","D16T18","Wood and paper products; printing","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,70.093,,
"WLD","World","D16","Wood and products of wood and cork","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,39.142,,
"WLD","World","D16","Wood and products of wood and cork","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,24.21,,
"WLD","World","D17T18","Paper products and printing","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,75.509,,
"WLD","World","D17T18","Paper products and printing","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,45.884,,
"WLD","World","D19T23","Chemicals and non-metallic mineral products","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,942.986,,
"WLD","World","D19T23","Chemicals and non-metallic mineral products","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,637.501,,
"WLD","World","D19","Coke and refined petroleum products","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,334.079,,
"WLD","World","D19","Coke and refined petroleum products","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,248.564,,
"WLD","World","D20T21","Chemicals and pharmaceutical products","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,344.826,,
"WLD","World","D20T21","Chemicals and pharmaceutical products","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,224.906,,
"WLD","World","D22","Rubber and plastic products","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,123.583,,
"WLD","World","D22","Rubber and plastic products","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,93.9,,
"WLD","World","D23","Other non-metallic mineral products","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,140.498,,
"WLD","World","D23","Other non-metallic mineral products","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,70.131,,
"WLD","World","D24T25","Basic metals and fabricated metal products","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,346.65,,
"WLD","World","D24T25","Basic metals and fabricated metal products","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,422.977,,
"WLD","World","D24","Basic metals","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,183.02,,
"WLD","World","D24","Basic metals","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,253.357,,
"WLD","World","D25","Fabricated metal products","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,163.63,,
"WLD","World","D25","Fabricated metal products","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,169.62,,
"WLD","World","D26T27","Computers, electronic and electrical equipment","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,160.092,,
"WLD","World","D26T27","Computers, electronic and electrical equipment","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,160.554,,
"WLD","World","D26","Computer, electronic and optical products","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,93.059,,
"WLD","World","D26","Computer, electronic and optical products","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,100.258,,
"WLD","World","D27","Electrical equipment","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,67.033,,
"WLD","World","D27","Electrical equipment","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,60.296,,
"WLD","World","D28","Machinery and equipment, nec ","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,298.678,,
"WLD","World","D28","Machinery and equipment, nec ","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,357.757,,
"WLD","World","D29T30","Transport equipment","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,82.774,,
"WLD","World","D29T30","Transport equipment","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,89.542,,
"WLD","World","D29","Motor vehicles, trailers and semi-trailers","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,62.308,,
"WLD","World","D29","Motor vehicles, trailers and semi-trailers","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,66.809,,
"WLD","World","D30","Other transport equipment","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,20.466,,
"WLD","World","D30","Other transport equipment","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,22.732,,
"WLD","World","D31T33","Other manufacturing; repair and installation of machinery and equipment","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,73.102,,
"WLD","World","D31T33","Other manufacturing; repair and installation of machinery and equipment","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,81.03,,
"WLD","World","D35T39","Electricity, gas, water supply, sewerage, waste and remediation services","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,749.383,,
"WLD","World","D35T39","Electricity, gas, water supply, sewerage, waste and remediation services","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,370.313,,
"WLD","World","D41T43","Construction","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,251.193,,
"WLD","World","D41T43","Construction","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,148.087,,
"WLD","World","D45T82","Total business sector services","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,4403.265,,
"WLD","World","D45T82","Total business sector services","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,4067.148,,
"WLD","World","D45T56","Distributive trade, transport, accommodation and food services","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,2284.599,,
"WLD","World","D45T56","Distributive trade, transport, accommodation and food services","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,1890.71,,
"WLD","World","D45T47","Wholesale and retail trade; repair of motor vehicles","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,1312.727,,
"WLD","World","D45T47","Wholesale and retail trade; repair of motor vehicles","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,1166.869,,
"WLD","World","D49T53","Transportation and storage","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,879.219,,
"WLD","World","D49T53","Transportation and storage","WLD","World","D09","Mining support service activities","2015","2015","USD","US Dollar","6","Millions",,,599.175,,
"WLD","World","D55T56","Accommodation and food services","WLD","World","D07T08","Mining and quarrying of non-energy producing products","2015","2015","USD","US Dollar","6","Millions",,,92.654,,
