Country,Variable,Code,Name,Value
Lithuania,Number of employees,D05T09,Mining and quarrying,2718
Lithuania,Number of enterprises,D05T09,Mining and quarrying,116
Slovenia,Turnover,D05T09,Mining and quarrying,
Slovenia,Number of employees,D05T09,Mining and quarrying,
Slovenia,Number of enterprises,D05T09,Mining and quarrying,1
Slovenia,Turnover,D05T09,Mining and quarrying,247.653608252874
Slovenia,Number of employees,D05T09,Mining and quarrying,2380
Slovenia,Number of enterprises,D05T09,Mining and quarrying,97
Slovenia,Turnover,D05T09,Mining and quarrying,247.653608252874
Slovenia,Number of employees,D05T09,Mining and quarrying,2380
Slovenia,Number of enterprises,D05T09,Mining and quarrying,97
Australia,Turnover,D10T33,Manufacturing,178953.163526801
Australia,Turnover,D10T33,Manufacturing,335865.336161897
Australia,Turnover,D10T33,Manufacturing,335865.336161897
Austria,Turnover,D10T33,Manufacturing,94020.0521637165
Austria,Number of employees,D10T33,Manufacturing,306516
Austria,Number of enterprises,D10T33,Manufacturing,475
Austria,Turnover,D10T33,Manufacturing,160179.073398985
Austria,Number of employees,D10T33,Manufacturing,604870
Austria,Number of enterprises,D10T33,Manufacturing,25323
Austria,Turnover,D10T33,Manufacturing,160179.073398985
Austria,Number of employees,D10T33,Manufacturing,604870
Austria,Number of enterprises,D10T33,Manufacturing,25323
Belgium,Turnover,D10T33,Manufacturing,128848.368555786
Belgium,Number of employees,D10T33,Manufacturing,217075
Belgium,Number of enterprises,D10T33,Manufacturing,309
Belgium,Turnover,D10T33,Manufacturing,209807.126161973
Belgium,Number of employees,D10T33,Manufacturing,459424
Belgium,Number of enterprises,D10T33,Manufacturing,33788
Belgium,Turnover,D10T33,Manufacturing,209807.126161973
Belgium,Number of employees,D10T33,Manufacturing,459424
Belgium,Number of enterprises,D10T33,Manufacturing,33788
Denmark,Turnover,D10T33,Manufacturing,726730.861763621
Denmark,Number of employees,D10T33,Manufacturing,354525
Denmark,Number of enterprises,D10T33,Manufacturing,14832
Finland,Turnover,D10T33,Manufacturing,67801.3936358506
Finland,Number of employees,D10T33,Manufacturing,160052
Finland,Number of enterprises,D10T33,Manufacturing,200
Finland,Turnover,D10T33,Manufacturing,112050.640738372
Finland,Number of employees,D10T33,Manufacturing,327409
Finland,Number of enterprises,D10T33,Manufacturing,20768
Finland,Turnover,D10T33,Manufacturing,112050.640738372
Finland,Number of employees,D10T33,Manufacturing,327409
Finland,Number of enterprises,D10T33,Manufacturing,20768
France,Turnover,D10T33,Manufacturing,488664.368083506
France,Number of employees,D10T33,Manufacturing,1372450
France,Number of enterprises,D10T33,Manufacturing,1354
France,Turnover,D10T33,Manufacturing,777587.269213832
France,Number of employees,D10T33,Manufacturing,2815450
France,Number of enterprises,D10T33,Manufacturing,213303
France,Turnover,D10T33,Manufacturing,777587.269213832
France,Number of employees,D10T33,Manufacturing,2815450
France,Number of enterprises,D10T33,Manufacturing,213303
Germany,Turnover,D10T33,Manufacturing,1378379.78244004
Germany,Number of employees,D10T33,Manufacturing,3957920
Germany,Number of enterprises,D10T33,Manufacturing,4336
Germany,Turnover,D10T33,Manufacturing,1849291.13586207
Germany,Number of employees,D10T33,Manufacturing,7104100
Germany,Number of enterprises,D10T33,Manufacturing,205028
Germany,Turnover,D10T33,Manufacturing,1849291.13586207
Germany,Number of employees,D10T33,Manufacturing,7104100
Germany,Number of enterprises,D10T33,Manufacturing,205028
Hungary,Turnover,D10T33,Manufacturing,21502605.6458161
Hungary,Number of employees,D10T33,Manufacturing,337535
Hungary,Number of enterprises,D10T33,Manufacturing,420
Hungary,Turnover,D10T33,Manufacturing,29458162.3860383
Hungary,Number of employees,D10T33,Manufacturing,691324
Hungary,Number of enterprises,D10T33,Manufacturing,49310
Hungary,Turnover,D10T33,Manufacturing,29458162.3860383
Hungary,Number of employees,D10T33,Manufacturing,691324
Hungary,Number of enterprises,D10T33,Manufacturing,49310
Ireland,Turnover,D10T33,Manufacturing,169028.994916609
Ireland,Number of employees,D10T33,Manufacturing,91172
Ireland,Number of enterprises,D10T33,Manufacturing,152
Ireland,Turnover,D10T33,Manufacturing,201230.27248751
Ireland,Number of employees,D10T33,Manufacturing,192978
Ireland,Number of enterprises,D10T33,Manufacturing,15242
Ireland,Turnover,D10T33,Manufacturing,201230.27248751
Ireland,Number of employees,D10T33,Manufacturing,192978
Ireland,Number of enterprises,D10T33,Manufacturing,15242
Italy,Turnover,D10T33,Manufacturing,315944.901821207
Italy,Number of employees,D10T33,Manufacturing,850585
Italy,Number of enterprises,D10T33,Manufacturing,1212
Italy,Turnover,D10T33,Manufacturing,797416.680940135
Italy,Number of employees,D10T33,Manufacturing,3122430
Italy,Number of enterprises,D10T33,Manufacturing,389317
Italy,Turnover,D10T33,Manufacturing,797416.680940135
Italy,Number of employees,D10T33,Manufacturing,3122430
Italy,Number of enterprises,D10T33,Manufacturing,389317
Korea,Turnover,D10T33,Manufacturing,1533929319.50134
Korea,Number of employees,D10T33,Manufacturing,3667210
Luxembourg,Turnover,D10T33,Manufacturing,8492.59016510537
Luxembourg,Number of employees,D10T33,Manufacturing,18399
Luxembourg,Number of enterprises,D10T33,Manufacturing,24
Luxembourg,Turnover,D10T33,Manufacturing,11969.0231848851
Luxembourg,Number of employees,D10T33,Manufacturing,33121
Luxembourg,Number of enterprises,D10T33,Manufacturing,786
Luxembourg,Turnover,D10T33,Manufacturing,11969.0231848851
Luxembourg,Number of employees,D10T33,Manufacturing,33121
Luxembourg,Number of enterprises,D10T33,Manufacturing,786
New Zealand,Turnover,D10T33,Manufacturing,90090.7591070115
Poland,Turnover,D10T33,Manufacturing,702380.059380096
Poland,Number of employees,D10T33,Manufacturing,1076110
Poland,Number of enterprises,D10T33,Manufacturing,1589
Poland,Turnover,D10T33,Manufacturing,1093010.36812682
Poland,Number of employees,D10T33,Manufacturing,2284970
Poland,Number of enterprises,D10T33,Manufacturing,187374
Poland,Turnover,D10T33,Manufacturing,1093010.36812682
Poland,Number of employees,D10T33,Manufacturing,2284970
Poland,Number of enterprises,D10T33,Manufacturing,187374
Portugal,Turnover,D10T33,Manufacturing,29935.805808069
Portugal,Number of employees,D10T33,Manufacturing,138519
Portugal,Number of enterprises,D10T33,Manufacturing,263
Portugal,Turnover,D10T33,Manufacturing,73943.1670719617
Portugal,Number of employees,D10T33,Manufacturing,637772
Portugal,Number of enterprises,D10T33,Manufacturing,66729
Portugal,Turnover,D10T33,Manufacturing,73943.1670719617
Portugal,Number of employees,D10T33,Manufacturing,637772
Portugal,Number of enterprises,D10T33,Manufacturing,66729
Slovak Republic,Turnover,D10T33,Manufacturing,45024.5615100173
Slovak Republic,Number of employees,D10T33,Manufacturing,210502
Slovak Republic,Number of enterprises,D10T33,Manufacturing,281
Slovak Republic,Turnover,D10T33,Manufacturing,64233.1269090805
Slovak Republic,Number of employees,D10T33,Manufacturing,413488
Slovak Republic,Number of enterprises,D10T33,Manufacturing,63969
Slovak Republic,Turnover,D10T33,Manufacturing,64233.1269090805
Slovak Republic,Number of employees,D10T33,Manufacturing,413488
Slovak Republic,Number of enterprises,D10T33,Manufacturing,63969
Spain,Turnover,D10T33,Manufacturing,216959.160496379
Spain,Number of employees,D10T33,Manufacturing,535979
Spain,Number of enterprises,D10T33,Manufacturing,752
Spain,Turnover,D10T33,Manufacturing,420914.704131475
Spain,Number of employees,D10T33,Manufacturing,1664900
Spain,Number of enterprises,D10T33,Manufacturing,166936
Spain,Turnover,D10T33,Manufacturing,420914.704131475
Spain,Number of employees,D10T33,Manufacturing,1664900
Spain,Number of enterprises,D10T33,Manufacturing,166936
Sweden,Turnover,D10T33,Manufacturing,1038045.32603314
Sweden,Number of employees,D10T33,Manufacturing,256032
Sweden,Number of enterprises,D10T33,Manufacturing,286
Sweden,Turnover,D10T33,Manufacturing,1658648.32549157
Sweden,Number of employees,D10T33,Manufacturing,534118
Sweden,Number of enterprises,D10T33,Manufacturing,53710
Sweden,Turnover,D10T33,Manufacturing,1658648.32549157
Sweden,Number of employees,D10T33,Manufacturing,534118
Sweden,Number of enterprises,D10T33,Manufacturing,53710
United Kingdom,Turnover,D10T33,Manufacturing,290858.708810556
United Kingdom,Number of employees,D10T33,Manufacturing,1049800
United Kingdom,Number of enterprises,D10T33,Manufacturing,1404
United Kingdom,Turnover,D10T33,Manufacturing,460252.695398717
United Kingdom,Number of employees,D10T33,Manufacturing,2462660
United Kingdom,Number of enterprises,D10T33,Manufacturing,131100
United Kingdom,Turnover,D10T33,Manufacturing,460252.695398717
United Kingdom,Number of employees,D10T33,Manufacturing,2462660
United Kingdom,Number of enterprises,D10T33,Manufacturing,131100
United States,Number of employees,D10T33,Manufacturing,13551300
Estonia,Turnover,D10T33,Manufacturing,3642.07615368391
Estonia,Number of employees,D10T33,Manufacturing,27675
Estonia,Number of enterprises,D10T33,Manufacturing,64
Estonia,Turnover,D10T33,Manufacturing,10498.5122948333
Estonia,Number of employees,D10T33,Manufacturing,108309
Estonia,Number of enterprises,D10T33,Manufacturing,7053
Estonia,Turnover,D10T33,Manufacturing,10498.5122948333
Estonia,Number of employees,D10T33,Manufacturing,108309
Estonia,Number of enterprises,D10T33,Manufacturing,7053
Latvia,Turnover,D10T33,Manufacturing,1920.03643516284
Latvia,Number of employees,D10T33,Manufacturing,24442
Latvia,Number of enterprises,D10T33,Manufacturing,54
Latvia,Turnover,D10T33,Manufacturing,6773.34420999617
Latvia,Number of employees,D10T33,Manufacturing,115356
Latvia,Number of enterprises,D10T33,Manufacturing,10523
Lithuania,Turnover,D10T33,Manufacturing,9236.0015968659
Lithuania,Number of employees,D10T33,Manufacturing,67062
Lithuania,Number of enterprises,D10T33,Manufacturing,132
Lithuania,Turnover,D10T33,Manufacturing,16594.6843023506
Lithuania,Number of employees,D10T33,Manufacturing,203369
Lithuania,Number of enterprises,D10T33,Manufacturing,19398
Slovenia,Turnover,D10T33,Manufacturing,11791.0334191284
Slovenia,Number of employees,D10T33,Manufacturing,74449
Slovenia,Number of enterprises,D10T33,Manufacturing,104
Slovenia,Turnover,D10T33,Manufacturing,23004.208419
Slovenia,Number of employees,D10T33,Manufacturing,180271
Slovenia,Number of enterprises,D10T33,Manufacturing,18853
Slovenia,Turnover,D10T33,Manufacturing,23004.208419
Slovenia,Number of employees,D10T33,Manufacturing,180271
Slovenia,Number of enterprises,D10T33,Manufacturing,18853
Austria,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",9326.66372565135
Austria,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",19669
Austria,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",22
Austria,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",32359.2603857721
Austria,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",27261
Austria,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",2390
Austria,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",32359.2603857721
Austria,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",27261
Austria,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",2390
Belgium,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",15868.4860580632
Belgium,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",16634
Belgium,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",10
Belgium,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",33317.1607504445
Belgium,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",19550
Belgium,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",851
Belgium,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",33317.1607504445
Belgium,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",19550
Belgium,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",851
Denmark,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",144433.062324042
Denmark,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",12231
Denmark,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",1745
Finland,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",3333.59060017242
Finland,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",5361
Finland,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",9
Finland,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",11195.0605983946
Finland,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",13207
Finland,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",907
Finland,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",11195.0605983946
Finland,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",13207
Finland,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",907
France,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",83865.4431327453
France,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",173214
France,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",22
France,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",99244.3897439273
France,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",180890
France,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",27062
France,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",99244.3897439273
France,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",180890
France,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",27062
Germany,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",374671.611166878
Germany,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",157053
Germany,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",190
Germany,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",484562.041938065
Germany,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",224623
Germany,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",2059
Germany,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",484562.041938065
Germany,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",224623
Germany,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",2059
Hungary,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",1496204.50130096
Hungary,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",16368
Hungary,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",22
Hungary,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",4673019.91336686
Hungary,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",24303
Hungary,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",610
Hungary,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",4673019.91336686
Hungary,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",24303
Hungary,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",610
Ireland,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",
Ireland,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",
Ireland,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",
Ireland,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",7221.24756990039
Ireland,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",8807
Ireland,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",515
Ireland,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",7221.24756990039
Ireland,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",8807
Ireland,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",515
Italy,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",77567.5794311705
Italy,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",59905
Italy,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",40
Italy,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",175787.198731341
Italy,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",84232
Italy,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",10775
Italy,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",175787.198731341
Italy,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",84232
Italy,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",10775
Luxembourg,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",
Luxembourg,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",
Luxembourg,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",1
Luxembourg,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",4187.58099020307
Luxembourg,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",1529
Luxembourg,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",80
Luxembourg,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",4187.58099020307
Luxembourg,Number of employees,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",1529
Luxembourg,Number of enterprises,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",80
New Zealand,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",14592.4571500383
Poland,Turnover,D35T39,"Electricity, gas, water supply, sewerage, waste and remediation services",153071.198550766
